Name	DisplayName	ShortName	EnvPackage	EnvPackageDisplay	NotAppropriateFor	Description	Example
MIMARKS.survey.plant-associated.5.0	MIMARKS: survey, plant-associated; version 5.0	MIMARKS Survey related	plant-associated	plant-associated	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN01888400
MIMARKS.survey.sediment.5.0	MIMARKS: survey, sediment; version 5.0	MIMARKS Survey related	sediment	sediment	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02866459
MIMARKS.survey.soil.5.0	MIMARKS: survey, soil; version 5.0	MIMARKS Survey related	soil	soil	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02919305
MIMARKS.survey.wastewater.5.0	MIMARKS: survey, wastewater; version 5.0	MIMARKS Survey related	wastewater	wastewater/sludge	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02678185
MIMARKS.survey.water.5.0	MIMARKS: survey, water; version 5.0	MIMARKS Survey related	water	water	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02767997
MIMS.me.air.5.0	MIMS: metagenome/environmental, air; version 5.0	MIMS Environmental/Metagenome	air	air	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02904796
MIMS.me.built.5.0	MIMS: metagenome/environmental, built; version 5.0	MIMS Environmental/Metagenome	built	built	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	
MIMS.me.host-associated.5.0	MIMS: metagenome/environmental, host-associated; version 5.0	MIMS Environmental/Metagenome	host-associated	host-associated	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02232114
MIMS.me.human-associated.5.0	MIMS: metagenome/environmental, human-associated; version 5.0	MIMS Environmental/Metagenome	human-associated	human-associated	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02808661
MIMS.me.human-gut.5.0	MIMS: metagenome/environmental, human-gut; version 5.0	MIMS Environmental/Metagenome	human-gut	human-gut	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02711913
MIMS.me.human-oral.5.0	MIMS: metagenome/environmental, human-oral; version 5.0	MIMS Environmental/Metagenome	human-oral	human-oral	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02333701
MIMS.me.human-skin.5.0	MIMS: metagenome/environmental, human-skin; version 5.0	MIMS Environmental/Metagenome	human-skin	human-skin	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN01894483
MIMS.me.human-vaginal.5.0	MIMS: metagenome/environmental, human-vaginal; version 5.0	MIMS Environmental/Metagenome	human-vaginal	human-vaginal	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02795945
MIMS.me.microbial.5.0	MIMS: metagenome/environmental, microbial; version 5.0	MIMS Environmental/Metagenome	microbial	microbial mat/biofilm	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02213668
MIMS.me.miscellaneous.5.0	MIMS: metagenome/environmental, miscellaneous; version 5.0	MIMS Environmental/Metagenome	miscellaneous	miscellaneous or artificial	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02146473
MIMS.me.plant-associated.5.0	MIMS: metagenome/environmental, plant-associated; version 5.0	MIMS Environmental/Metagenome	plant-associated	plant-associated	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02918283
MIMS.me.sediment.5.0	MIMS: metagenome/environmental, sediment; version 5.0	MIMS Environmental/Metagenome	sediment	sediment	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02892988
MIMS.me.soil.5.0	MIMS: metagenome/environmental, soil; version 5.0	MIMS Environmental/Metagenome	soil	soil	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02899785
MIMS.me.wastewater.5.0	MIMS: metagenome/environmental, wastewater; version 5.0	MIMS Environmental/Metagenome	wastewater	wastewater	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN02911905
MIMS.me.water.5.0	MIMS: metagenome/environmental, water; version 5.0	MIMS Environmental/Metagenome	water	water	wgs_diploid	Use for environmental and metagenome sequences. Organism must be a metagenome, where lineage starts with unclassified sequences and scientific name ends with 'metagenome'.	SAMN00001362
MISAG.5.0	MISAG: single amplified genome; version 5.0	MISAG Single Amplified Genome	No environmental package	No environmental package		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.air.5.0	MISAG: single amplified genome, air; version 5.0	MISAG Single Amplified Genome	air	air		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.built.5.0	MISAG: single amplified genome, built; version 5.0	MISAG Single Amplified Genome	built	built		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.host-associated.5.0	MISAG: single amplified genome, host-associated; version 5.0	MISAG Single Amplified Genome	host-associated	host-associated		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.human-associated.5.0	MISAG: single amplified genome, human-associated; version 5.0	MISAG Single Amplified Genome	human-associated	human-associated		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.human-gut.5.0	MISAG: single amplified genome, human-gut; version 5.0	MISAG Single Amplified Genome	human-gut	human-gut		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.human-oral.5.0	MISAG: single amplified genome, human-oral; version 5.0	MISAG Single Amplified Genome	human-oral	human-oral		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.human-skin.5.0	MISAG: single amplified genome, human-skin; version 5.0	MISAG Single Amplified Genome	human-skin	human-skin		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.human-vaginal.5.0	MISAG: single amplified genome, human-vaginal; version 5.0	MISAG Single Amplified Genome	human-vaginal	human-vaginal		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.microbial.5.0	MISAG: single amplified genome, microbial; version 5.0	MISAG Single Amplified Genome	microbial	microbial mat/biofilm		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.miscellaneous.5.0	MISAG: single amplified genome, miscellaneous; version 5.0	MISAG Single Amplified Genome	miscellaneous	miscellaneous or artificial		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.plant-associated.5.0	MISAG: single amplified genome, plant-associated; version 5.0	MISAG Single Amplified Genome	plant-associated	plant-associated		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.sediment.5.0	MISAG: single amplified genome, sediment; version 5.0	MISAG Single Amplified Genome	sediment	sediment		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.soil.5.0	MISAG: single amplified genome, soil; version 5.0	MISAG Single Amplified Genome	soil	soil		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.wastewater.5.0	MISAG: single amplified genome, wastewater; version 5.0	MISAG Single Amplified Genome	wastewater	wastewater		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MISAG.water.5.0	MISAG: single amplified genome, water; version 5.0	MISAG Single Amplified Genome	water	water		Use for single amplified genome sequences produced by isolating individual cells, amplifying the genome of each cell using whole genome amplification, and then sequencing the amplified DNA. Organism cannot contain the term 'metagenome'.	
MIUVIG.5.0	MIUVIG: uncultivated virus genome; version 5.0	MIUVIG Uncultivated Virus Genome	No environmental package	No environmental package	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.air.5.0	MIUVIG: uncultivated virus genome, air; version 5.0	MIUVIG Uncultivated Virus Genome	air	air	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.built.5.0	MIUVIG: uncultivated virus genome, built; version 5.0	MIUVIG Uncultivated Virus Genome	built	built	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.host-associated.5.0	MIUVIG: uncultivated virus genome, host-associated; version 5.0	MIUVIG Uncultivated Virus Genome	host-associated	host-associated	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.human-associated.5.0	MIUVIG: uncultivated virus genome, human-associated; version 5.0	MIUVIG Uncultivated Virus Genome	human-associated	human-associated	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.human-gut.5.0	MIUVIG: uncultivated virus genome, human-gut; version 5.0	MIUVIG Uncultivated Virus Genome	human-gut	human-gut	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.human-oral.5.0	MIUVIG: uncultivated virus genome, human-oral; version 5.0	MIUVIG Uncultivated Virus Genome	human-oral	human-oral	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.human-skin.5.0	MIUVIG: uncultivated virus genome, human-skin; version 5.0	MIUVIG Uncultivated Virus Genome	human-skin	human-skin	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.human-vaginal.5.0	MIUVIG: uncultivated virus genome, human-vaginal; version 5.0	MIUVIG Uncultivated Virus Genome	human-vaginal	human-vaginal	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.microbial.5.0	MIUVIG: uncultivated virus genome, microbial; version 5.0	MIUVIG Uncultivated Virus Genome	microbial	microbial mat/biofilm	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.miscellaneous.5.0	MIUVIG: uncultivated virus genome, miscellaneous; version 5.0	MIUVIG Uncultivated Virus Genome	miscellaneous	miscellaneous or artificial	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.plant-associated.5.0	MIUVIG: uncultivated virus genome, plant-associated; version 5.0	MIUVIG Uncultivated Virus Genome	plant-associated	plant-associated	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.sediment.5.0	MIUVIG: uncultivated virus genome, sediment; version 5.0	MIUVIG Uncultivated Virus Genome	sediment	sediment	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.soil.5.0	MIUVIG: uncultivated virus genome, soil; version 5.0	MIUVIG Uncultivated Virus Genome	soil	soil	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.wastewater.5.0	MIUVIG: uncultivated virus genome, wastewater; version 5.0	MIUVIG Uncultivated Virus Genome	wastewater	wastewater	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
MIUVIG.water.5.0	MIUVIG: uncultivated virus genome, water; version 5.0	MIUVIG Uncultivated Virus Genome	water	water	wgs_single;wgs_batch;wgs_diploid	Use for uncultivated virus genome identified in metagenome and metatranscriptome datasets. Organism must have lineage Viruses.	
