attribute	harmonized
trophic level	trophic_level
derived-from	derived_from
identified by	identified_by
birth_control	birth_control
douche	douche
gynecologic_disord	gynecologic_disord
hrt	hrt
hysterectomy	hysterectomy
ihmc_medication_code	ihmc_medication_code
menarche	menarche
menopause	menopause
sexual_act	sexual_act
urogenit_disord	urogenit_disord
Host taxid	host_taxid
host height	host_height
host total mass	host_tot_mass
absolute air humidity	abs_air_humidity
air temperature	air_temp
building occupancy type	build_occup_type
building setting	building_setting
carbon dioxide	carb_dioxide
filter type	filter_type
heating and cooling system type	heat_cool_type
indoor space	indoor_space
light type	light_type
occupancy at sampling	occup_samp
occupant density at sampling	occupant_dens_samp
relative air humidity	rel_air_humidity
space typical state	space_typ_state
typical occupant density	typ_occupant_dens
ventilation type	ventilation_type
isol_growth_condt 	isol_growth_condt
last_meal	last_meal
occupation	occupation
Geographic_location	geo_loc_name
number_of_replicons	num_replicons
reference_for_biomaterial	ref_biomaterial
Isolate name alias	isolate_name_alias
submitter-asserted type strain	type_strain
Latitude and Longitude	lat_lon
Growth protocol	growth_protocol
cell  type	cell_type
isolate_source	isolation_source
sludge retention time	sludge_retent_time
reference material	reference_material
Variety	variety
molecular_data_type	molecular_data_type
cell lline	cell_line
Fire	fire
Collected By	collected_by
Disease Status	disease
biological material	bio_material
time_last_toothbrush	time_last_toothbrush
NARMS_isolate_number	narms_isolate_number
breeding history	breeding_history
breeding method	breeding_method
collection year	collection_date
Sample_description	description
Env_biome	env_broad_scale
Env_feature	env_local_scale
Chemical administration	chem_administration
Fertilizer regimen	fertilizer_regm
bacterial production	bac_prod
particle classification	particle_class
ArrayExpress-Age	age
geographical location	geo_loc_name
Ecotype	ecotype
Biomaterial_provider	biomaterial_provider
Body_Site	tissue
analyte_type	analyte_type
 subsp	sub_species
beta_lactamase_family	beta_lactamase_family
carbapenemase	carbapenemase
edta_inhibitor_tested	edta_inhibitor_tested
Isolate_source	isolation_source
Organ	tissue
disease_status	disease
derived from	derived_from
Year_isolated	collection_date
Biomaterial provider	biomaterial_provider
dominant_hand	dominant_hand
env package	env_package
environment material 	env_medium
Type status	type_status
growth-protocol	growth_protocol
travel_out_six_month	travel_out_six_month
plant product	plant_product
Sub Species	sub_species
Total_organic_carbon	tot_org_carb
Specimen voucher	specimen_voucher
surf_material	surf_material
geographic location (countryand/orsea,region)	geo_loc_name
Source Name	source_name
mean friction velocity	mean_frict_vel
mean peak friction velocity	mean_peak_frict_vel
aminopeptidase activity	aminopept_act
dermatology disorder	dermatology_disord
organic nitrogen	org_nitro
suspended particulate matter	suspend_part_matter
total dissolved nitrogen	tot_diss_nitro
hiv status	hiv_stat
dry_mass	dry_mass
wet_mass	wet_mass
link_addit_analys	link_addit_analys
source name	source_name
image file	image_file
soil_taxonomic/fao classification	fao_class
Sub species	sub_species
RACE	race
host disease outcome	host_disease_outcome
Population_description	population_description
source_mat-id	source_material_id
Project_name	project_name
host id	host_taxid
development  stage	dev_stage
ref biomaterial	ref_biomaterial
rel to oxygen	rel_to_oxygen
samp collect device	samp_collect_device
samp mat process	samp_mat_process
samp size	samp_size
source material id	source_material_id
total_N	tot_nitro
DiseaseStage	disease_stage
SamplingDate	collection_date
body mass index	body_mass_index
source of isolate	isolation_source
TEMPERATURE	temp
DevelopmentStage	dev_stage
COMPOUND	compound
DOSE	dose
FamilyRelationship	family_relationship
FamilyID	family_id
GeneticVariation	genotype
Subclone	subclone
CellLineage	cell_line
Morphology	morphology
BodyMassIndex	body_mass_index
Same As	same_as
PLOIDY	ploidy
total_n	tot_nitro
Sample_type	sample_type
sub-type	subtype
CellSubType	cell_subtype
birth location	birth_location
same as	same_as
host_BMI	host_body_mass_index
child of	child_of
treatment 	treatment
Host age	host_age
bio material	bio_material
birthdate	birth_date
Bio-material	bio_material
surfacematerial	surf_material
Organic Carbon	org_carb
Organic Matter	org_matter
Calcium	calcium
Potassium	potassium
Sodium	sodium
Total  Nitrogen	tot_nitro
isolationsource	isolation_source
geolocname	geo_loc_name
latlon	lat_lon
refbiomaterial	ref_biomaterial
reltooxygen	rel_to_oxygen
sampcollectdevice	samp_collect_device
sampmatprocess	samp_mat_process
sampsize	samp_size
sourcematerialid	source_material_id
family member	family_relationship
Project_Name	project_name
host_taxID	host_taxid
sample date	collection_date
SampleDescription	description
sampling_date	collection_date
Host_Age	host_age
Host_Gender	host_sex
ph_method	ph_meth
Gravidity	gravidity
strain_ID	strain
pulse	pulse
tot mass	tot_mass
EDTA inhibitor tested	edta_inhibitor_tested
bio-material-provider	biomaterial_provider
stud book number	stud_book_number
cell-subtype	cell_subtype
host_hiv_status	host_hiv_stat
SampleName	sample_name
pollutants	pollutants
Source_material_id	source_material_id
Altitude 	altitude
study_name	study_name
host description	host_description
derived_from	derived_from
Collected by	collected_by
Culture collection	culture_collection
Growth media	growth_med
Host_Sex	host_sex
istumor	is_tumor
Dominant Hand	dominant_hand
Trophic_level	trophic_level
Ph	ph
Analyte type	analyte_type
Env_material	env_medium
Env_package	env_package
Estimated_size	estimated_size
Isol_growth_condt	isol_growth_condt
Num_replicons	num_replicons
Ref_biomaterial	ref_biomaterial
Rel_to_oxygen	rel_to_oxygen
Source_mat_id	source_material_id
sexual activity	sexual_act
birth control	birth_control
source_materialid	source_material_id
re_lto_oxygen	rel_to_oxygen
Medication Code	ihmc_medication_code
Host Sex	host_sex
Host Disease	host_disease
Host Subject Id	host_subject_id
env_broad_scale	env_broad_scale
env_local_scale	env_local_scale
env_medium	env_medium
amniotic_fluid_color	amniotic_fluid_color
lat_loN	lat_lon
donor sex	sex
storage_conditions	store_cond
Growth_media	growth_med
water content soil	water_content_soil
tissue/developmental stage	dev_stage
Nitrogen	nitro
twin_sibling	twin_sibling
host tissue sampled	host_tissue_sampled
Sample_Date	collection_date
current_land_use	cur_land_use
Child Of	child_of
host_HIVStatus	host_hiv_stat
Host_genotype	host_genotype
History/agrochemical additions	agrochem_addition
soil taxonomic/local classification	local_class
soil taxonomic/local classification method	local_class_meth
lat_lo N	lat_lon
host infra-specific rank	host_infra_specific_rank
YEAR_ISOLATED	collection_date
treatment_protocol	treatment
sampleDescription	description
PHENOTYPE	phenotype
Dev-stage	dev_stage
Clone	clone
diet_last_six_month	diet_last_six_month
kidney_disord	kidney_disord
maternal_health_stat	maternal_health_stat
nose_throat_disord	nose_throat_disord
study_complt_stat	study_complt_stat
urine_collect_meth	urine_collect_meth
urogenit_tract_disor	urogenit_tract_disor
Elev	elev
Biotic_relationship	biotic_relationship
Samp_collect_device	samp_collect_device
hiv_status	hiv_stat
particulate organic carbon	part_org_carb
particulate organic nitrogen	part_org_nitro
sampledescription	description
cellline	cell_line
Celltype	cell_type
source mat id	source_material_id
Derived From	derived_from
SoilType	soil_type
infraspecific name	infra_specific_name
Dissolved Inorganic Nitrogen	diss_inorg_nitro
Total Phosphate	tot_phosphate
Soiltype	soil_type
isolate_name-alias	isolate_name_alias
host body-mass index	host_body_mass_index
Treatment 	treatment
ArrayExpress-STRAIN_OR_LINE	strain
SAMPLENAME	sample_name
heavy_ metals	heavy_metals
st-rain	strain
host gender	host_sex
envbiome	env_broad_scale
envfeature	env_local_scale
envmaterial	env_medium
isolgrowthcondt	isol_growth_condt
hostage	host_age
hostsex	host_sex
Disease_Stage	disease_stage
genotype / variation	genotype
Family_member	family_relationship
Pretreatment	pre_treatment
host 	host
phenotype 	phenotype
 sub species	sub_species
subspecies 	sub_species
HIV_status	hiv_stat
Type strain	type_strain
organism modifier note	orgmod_note
host substrate	host_substrate
observed_biotic_relationship	biotic_relationship
Isolation-Source	isolation_source
Collection-Date	collection_date
BIOME	env_broad_scale
DEPTH	depth
FEATURE	env_local_scale
MATERIAL	env_medium
dissolved hydrogen	diss_hydrogen
host BMI	host_body_mass_index
hostgender	host_sex
isolation   source	isolation_source
collection   date	collection_date
geo   loc   name	geo_loc_name
lat   lon	lat_lon
chemical mutagen	chem_mutagen
Biomaterial_Provider	biomaterial_provider
BiomaterialProvider	biomaterial_provider
Geographic_Location	geo_loc_name
Development_stage	dev_stage
sample__name	sample_name
Dissolved oxygen	diss_oxygen
time_since_last_wash	time_since_last_wash
ArrayExpress-SEX	sex
broad-scale environmental context	env_broad_scale
local-scale environmental context	env_local_scale
forma specialis	forma_specialis
Collected_By	collected_by
Isolation_Source	isolation_source
Host_age	host_age
sample_collection device or method	samp_collect_device
sub_type	subtype
host_subject_ID	host_subject_id
Sample storage location	samp_store_loc
Sample storage temperature	samp_store_temp
Passage history	passage_history
Isolate Name	isolate
isol growth condt	isol_growth_condt
num replicons	num_replicons
mineral nutrient regimen	mineral_nutr_regm
Year_Isolated	collection_date
environmental medium	env_medium
Body_site	tissue
Sample_date	collection_date
Study Name	study_name
Host sex	host_sex
pre treatment	pre_treatment
seasonal environment	season_environment
host_name	host
trophiclevel	trophic_level
suspended solids	suspend_solids
Host_gender	host_sex
Host_ID	host_taxid
type-strain	type_strain
total_mass	tot_mass
_temp	temp
secondary treatment	secondary_treatment
host length	host_length
cell sub-type	cell_subtype
ELEVATION	elev
ENV_BIOME	env_broad_scale
ENV_FEATURE	env_local_scale
ENV_MATERIAL	env_medium
env_broad_range	env_broad_scale
env_local_range	env_local_scale
total particulate carbon	tot_part_carb
geographic _location	geo_loc_name
donor_sex	sex
sub-group	subgroup
strain 	strain
culture-collection 	culture_collection
Growth Media	growth_med
primary treatment	primary_treatment
Broad scale environmental context	env_broad_scale
Environmental medium	env_medium
Number of replicons	num_replicons
Reference for biomaterial	ref_biomaterial
Broad Scale Environmental Context	env_broad_scale
Environmental Medium	env_medium
Carbon_dioxide	carb_dioxide
ALT	altitude
Disease State	disease
environment_(biome)	env_broad_scale
environment_(feature)	env_local_scale
environment_(material)	env_medium
storage_conditions_(fresh/frozen/other)	store_cond
host_total_mass	host_tot_mass
biospecimen_repository	biospecimen_repository
biospecimen_repository_sample_id	biospecimen_repository_sample_id
study_design	study_design
submitted_sample_id	submitted_sample_id
submitted_subject_id	submitted_subject_id
submitter_handle	submitter_handle
study_disease	study_disease
subject_is_affected	subject_is_affected
absolute_air_humidity	abs_air_humidity
air_temperature	air_temp
carbon_dioxide	carb_dioxide
heating_and_cooling_system_type	heat_cool_type
occupancy_at_sampling	occup_samp
occupant_density_at_sampling	occupant_dens_samp
relative_air_humidity	rel_air_humidity
typical_occupant_density	typ_occupant_dens
GEOGRAPHIC_LOCATION	geo_loc_name
biotic relationship	biotic_relationship
geoloc_name	geo_loc_name
environmental_medium	env_medium
Host Genotype	host_genotype
Host Diet	host_diet
ArrayExpress-PHENOTYPE	phenotype
substructure_type	substructure_type
surf_air_cont	surf_air_cont
surf_humidity	surf_humidity
surf_moisture	surf_moisture
surf_moisture_ph	surf_moisture_ph
surf_temp	surf_temp
experimental   factor	experimental_factor
source of uvigs	source_uvig
virus enrichment approach	virus_enrich_appr
tissue_origin	tissue
Specific_Host	host
LifeStage	life_stage
Reference for Biomaterial	ref_biomaterial
Sample Collection Device or Method	samp_collect_device
Sample Material Processing	samp_mat_process
Sample_storage_temperature	samp_store_temp
size_frac	size_frac
source_uvig	source_uvig
virus_enrich_appr	virus_enrich_appr
Mating Type	mating_type
drug usage	drug_usage
Host_disease	host_disease
dev_ stage	dev_stage
sample_name-	sample_name
source-material-id	source_material_id
host_bmi	host_body_mass_index
bacterial respiration	bac_resp
omics_observ_id	omics_observ_id
relationship_to_oxygen	rel_to_oxygen
broad-scale_environmental_context	env_broad_scale
local-scale_environmental_context	env_local_scale
indoor surface	indoor_surf
Dissolved_oxygen	diss_oxygen
Total_phosphorus	tot_phosp
Total_nitrogen	tot_nitro
disease  state	disease
sampledate	collection_date
Broad-scale environmental context	env_broad_scale
Local-scale environmental context	env_local_scale
organic particles	org_particles
profile position	profile_position
salinity method	salinity_meth
biomaterialprovider	biomaterial_provider
local_scale_environmental_context	env_local_scale
Birth location	birth_location
Breeding history	breeding_history
Breeding method	breeding_method
BirthDate	birth_date
Total_carbon	tot_carb
total n	tot_nitro
experimental-factor	experimental_factor
Host BMI	host_body_mass_index
Source_material_ID	source_material_id
Reactor Type	reactor_type
broad_scale_environmental_context	env_broad_scale
ArrayExpress-CELL_TYPE	cell_type
ArrayExpress-ORGANISM_PART	tissue
ArrayExpress-DEVELOPMENTAL_STAGE	dev_stage
geographical_location	geo_loc_name
Birthdate	birth_date
type strain	type_strain
HostID	host_taxid
samp-collect-device	samp_collect_device
samp-mat-process	samp_mat_process
Perturbation	perturbation
Host life stage	host_life_stage
Host body product	host_body_product
Host body habitat	host_body_habitat
ArrayExpress-GENOTYPE	genotype
ArrayExpress-DISEASE_STATE	disease
ArrayExpress-COMPOUND	compound
ArrayExpress-DOSE	dose
ArrayExpress-AGE	age
ArrayExpress-TREATMENT	treatment
Bio_material	bio_material
organism strain	strain
building_occupancy_type	build_occup_type
surface_material	surf_material
indoor_surface	indoor_surf
Height or length	height_or_length
texture method	texture_meth
source_material_ID	source_material_id
Life Stage	life_stage
_env_broad_scale	env_broad_scale
_env_local_scale	env_local_scale
_env_medium	env_medium
_isolate	isolate
source_of_uvigs	source_uvig
Light intensity	light_intensity
specimen_voucher_	specimen_voucher
date_of_collection	collection_date
Geographic  Location	geo_loc_name
Health_State	health_state
tertiary treatment	tertiary_treatment
gynecological disorder	gynecologic_disord
Collection_year	collection_date
hostid	host_taxid
study_Name	study_name
Health State	health_state
project-name	project_name
env broad scale	env_broad_scale
env local scale	env_local_scale
env medium	env_medium
resp_part_matter	resp_part_matter
HIV status	hiv_stat
geographic location (locality)	geo_loc_name
Is Tumor	is_tumor
time_of_sample_collection	collection_date
Isolation_year	collection_date
Estimated size	estimated_size
population_description	population_description
cell t ype	cell_type
host_ sex	host_sex
Host Tissue sampled	host_tissue_sampled
Study name	study_name
isolate_name alias	isolate_name_alias
source of UViGs	source_uvig
projectname	project_name
sampleType	sample_type
soil_taxonomic/local classification method	local_class_meth
BREED	breed
pesticide_regimen	pesticide_regm
presence of pets or farm animals	pet_farm_animal
travel outside the country in last six months	travel_out_six_month
dissolved carbon dioxide	diss_carb_dioxide
ETHNICITY	ethnicity
HEALTH STATE	health_state
SAMPLE TYPE	sample_type
sampleName	sample_name
host infra specific name	host_infra_specific_name
host body mass index	host_body_mass_index
year isolated	collection_date
soil taxonomic/fao classification	fao_class
humidity regimen	humidity_regm
mechanical damage	mechanical_damage
